"Date","AverageFee","BlockHash","BlockNumber","BlockSize","TotalTransactions","TotalFees","Difficulty"
1715088201,6.6825908368644e-05,"0000000000000000000096ae940c568a1fe292db17b0779b7b024ea1ea7d48ce",842450,1717349,3777,0.252334630000004,88104191118793.2
1715087982,0.00010627444567321,"0000000000000000000304fb7564f934cb5981e49507ffa4f605a9bb78ad4c09",842449,1623804,3618,0.38439467,88104191118793.2
1715086394,0.000138370190249703,"0000000000000000000240e69532f1c8f7dd7dc64387013f8bbe5d4e815de040",842448,1585670,1683,0.23273866,88104191118793.2
1715086196,0.000100219378033981,"000000000000000000017699bdfb984ed6cff1133e149f24013d630e28ebb6da",842447,1698806,3297,0.330323070000001,88104191118793.2
1715084957,9.42646457489879e-05,"00000000000000000001eaee447ff737a5ea95d7da5d25aadb8bb0e3952011e1",842446,1671157,2965,0.279400409999998,88104191118793.2
1715084283,0.000133459702555509,"00000000000000000000e61a805b804a21b4e551ffcdf454d02c7badf033da98",842445,1609777,2388,0.318568309999997,88104191118793.2
1715083568,9.57320992e-05,"00000000000000000000f7e4af93fbd89809d68d9194c6b93e70e29b9360e89e",842444,1721939,3126,0.299162810000002,88104191118793.2
1715083064,8.8056164043082e-05,"000000000000000000032ba04c490a058496025ed807f985fdbd29c81b85856e",842443,1680130,3622,0.318851370000001,88104191118793.2
1715082609,9.30305137811079e-05,"0000000000000000000058428202decfdcf5ba94783f92670a8791e495454788",842442,1657043,3738,0.34765503,88104191118793.2
1715082150,8.73668390677026e-05,"00000000000000000000f23dc5e8d6cb72ddfa5459e525263974b86e2b0fb6f7",842441,1597278,4506,0.393587609999996,88104191118793.2
1715081417,8.52640731842542e-05,"00000000000000000001985c05e50c9c7929345bfde82c5082983cd96d9183e0",842440,1457463,5412,0.461363900000006,88104191118793.2
1715079372,6.90125418569258e-05,"0000000000000000000094c3205af0940cc26d3992f6fa88e089094fc3591056",842439,1498277,5914,0.408071159999997,88104191118793.2
1715078975,9.0690783509605e-05,"00000000000000000000f89ba384138629337b34328a273e9376c27b8811b02b",842438,1423772,4634,0.420170399999992,88104191118793.2
1715078903,0.000166441601784265,"000000000000000000003a0c8e14c4ef66ee96ae87a608e2b27193f959c262b1",842437,1372151,4933,0.82088998000003,88104191118793.2
1715076431,6.7946626425218e-05,"000000000000000000007d8fb7814e4dd5e2dee0110c46f05ba77b2e9dbe33c8",842436,1623457,2983,0.20261684,88104191118793.2
1715076390,5.17333154875717e-05,"00000000000000000002412c2e3b714a7e7da0c7862cad1617b176a4ce510aec",842435,1543191,5231,0.27056524,88104191118793.2
1715076299,6.08329691714837e-05,"0000000000000000000084398e8db104c23ecc55a69d8f287f7197813d9ccf9c",842434,1450934,5191,0.315723110000002,88104191118793.2
1715076245,6.51000716786134e-05,"00000000000000000002db91760c92ba68a3f6f9bd1f14ba4fbb5f2530e5cb59",842433,1449560,6000,0.390535329999984,88104191118793.2
1715075565,6.02939873971644e-05,"00000000000000000001d845362d7a615ba6d176b248a767f7377244347c4b1e",842432,1512815,5714,0.344459549999993,88104191118793.2
1715074967,8.6521460788297e-05,"000000000000000000029c117ff7999d3bbd7f0d3cb0064b7f6266af0a5e8746",842431,1431844,4923,0.425858630000007,88104191118793.2
1715073223,6.76105720823799e-05,"0000000000000000000284235b580770330f441626aedfddebf157e60f0cb033",842430,1624608,3060,0.206820739999997,88104191118793.2
1715072779,6.74888785589774e-05,"00000000000000000001cfd556e984ffa143f7c787fffbc24e7f6e0a776f4be4",842429,1904534,3443,0.232296719999999,88104191118793.2
1715072322,8.57391241335854e-05,"000000000000000000013622e998eacb89cbab99c46864c558ca049bd28bbc83",842428,1689841,3175,0.272135980000002,88104191118793.2
1715071533,8.87856112352378e-05,"000000000000000000012a23a5b94df07248f57ec50c798c86a95baa8afa9efa",842427,1689313,3134,0.278165320000002,88104191118793.2
1715070434,3.6017955015512e-05,"00000000000000000000a568463642cb883349ec944daf94f8e6d19e084fd3e6",842426,2466100,3869,0.139317449999996,88104191118793.2
1715070427,0.000144714271440466,"000000000000000000005fda989193c29681973e854de6f4d384b89f52609d53",842425,2811758,1202,0.173801839999999,88104191118793.2
1715070337,6.97687556855101e-05,"000000000000000000022c0544837719d93b1d69a3d7a18eca08b8a9a88047bc",842424,2343788,3079,0.214748230000002,88104191118793.2
1715069885,7.28333404384897e-05,"0000000000000000000251936191e22ad1ac18bebf733c7766806e9810ff53ee",842423,1873797,3285,0.239184689999998,88104191118793.2
1715069317,9.70319428818693e-05,"00000000000000000002792936777eba4d23e707523d1be75463b4b1058aed7e",842422,1771210,2312,0.224240820000001,88104191118793.2
1715069179,9.03792213114755e-05,"00000000000000000002b79085ed6da9e1e1591c046c18a129ec48807145f190",842421,1546524,4393,0.396945540000004,88104191118793.2
1715067358,6.02277356253705e-05,"0000000000000000000272b1a6eced2cebf56056600ececab0210a4da0f49b69",842420,2280030,3375,0.203208379999997,88104191118793.2
1715066908,7.78038763575606e-05,"000000000000000000031d009fb0fd71b71f156d49a38059e34598aa6642ea1f",842419,2194794,2395,0.186262479999998,88104191118793.2
