Correlation Matrix:

                                 AverageFee   BlockNumber    BlockSize
HourOfDay10                       -0.0154412014 -0.010237482 -0.0106961958
HourOfDay11                        0.0202148634 -0.041494980 -0.0016324153
HourOfDay12                        0.0059426265 -0.002755725 -0.0156389530
HourOfDay13                        0.0342746082 -0.020720148 -0.0126332666
HourOfDay14                        0.0279821372  0.022330347 -0.0060680493
HourOfDay15                        0.0403773488  0.032749616 -0.0236986548
HourOfDay16                        0.0323655066  0.023912094 -0.0238367098
HourOfDay17                        0.0368675090  0.054641976 -0.0026501055
HourOfDay18                        0.0048350849  0.075872731  0.0160115325
HourOfDay19                       -0.0003534738  0.021773550  0.0116494130
HourOfDay20                       -0.0133061181  0.019718825  0.0458675268
HourOfDay21                       -0.0165641482  0.012039590 -0.0138978100
HourOfDay22                       -0.0325102719  0.034159933  0.0032528301
HourOfDay23                       -0.0418088905 -0.008132218 -0.0081736850
DayOfWeek2                         0.0188619031  0.012154727  0.0142248139
DayOfWeek3                         0.0047507943  0.068142916  0.0695168137
DayOfWeek4                         0.0149519074  0.002871440 -0.0549616096
DayOfWeek5                        -0.0010816856  0.063712675  0.0212751724
DayOfWeek6                        -0.0249966909  0.013104020 -0.0454272463
DayOfWeek7                        -0.0108721048 -0.077792842 -0.0193013409
hour_sin                          -0.0253695662 -0.105415024  0.0046161870
hour_cos                          -0.1086138247 -0.019871768  0.0258657007
day_sin                            0.0176164988 -0.048021570  0.0459726002
day_cos                           -0.0237761538 -0.101077578 -0.0325760237
                              TimeDiffMinutes     HourOfDay     DayOfWeek
AverageFee                       0.2313366422  0.0936426336  0.0121514870
BlockNumber                      0.0078092585  0.0005850786 -0.0801128131
BlockSize                       -0.3163155800 -0.0438298309 -0.0771374005
TotalTransactions                0.2836601327  0.0277794557 -0.0224777805
TotalFees                        0.4118794212  0.1056564493  0.0012520085
Difficulty                       0.0135385119 -0.0032799709 -0.0467207414
TimeDiffMinutes                  1.0000000000 -0.0157413741  0.0209560726
HourOfDay                       -0.0157413741  1.0000000000 -0.0005153687
DayOfWeek                        0.0209560726 -0.0005153687  1.0000000000
IsWeekend                       -0.0075826590  0.0046687758  0.0272492869
TotalFeesLog                     0.4152993996  0.1100810972  0.0021627311
TotalTransactions_Lag1          -0.0369538569  0.0425592258 -0.0240730549
BlockSize_Lag1                   0.0106501516 -0.0477101991 -0.0685894248
TotalFees_Lag1                  -0.0582344191  0.1124772906  0.0024449149
TotalFeesLog_Lag1               -0.0572199976  0.1153723839  0.0035461256
TotalTransactions_RunningAvg2   -0.0520437815  0.0536007571 -0.0308360596
TotalTransactions_RunningAvg3   -0.0489831791  0.0580381412 -0.0315495980
BlockSize_RunningAvg2           -0.0080543285 -0.0609286777 -0.0861558011
BlockSize_RunningAvg3           -0.0055088064 -0.0734222226 -0.1009673277
TotalFees_RunningAvg2           -0.0614326707  0.1252054886 -0.0003980527
TotalFees_RunningAvg3           -0.0642904306  0.1304018312  0.0013957533
TotalFeesLog_RunningAvg2        -0.0603088893  0.1277239294  0.0013746085
TotalFeesLog_RunningAvg3        -0.0630363477  0.1326639079  0.0028434981
Interaction_HourIsWeekend       -0.0107772874  0.3134231389  0.0229339062
BlockSize_Squared                0.0122168809 -0.0482898362 -0.0664367350
BlockSize_Cubed                  0.0135282168 -0.0483882595 -0.0638926351
HourOfDay_Squared               -0.0148719866  0.9660345100  0.0050238853
HourOfDay_Cubed                 -0.0130852508  0.9125064497  0.0085741891
HourOfDay1                      -0.0056170475 -0.3148429607  0.0269471471
HourOfDay2                       0.0027722401 -0.2814185661 -0.0203623060
HourOfDay3                       0.0108569871 -0.2562347106  0.0281715755
HourOfDay4                       0.0061545670 -0.2457232712  0.0110294324
HourOfDay5                      -0.0058710479 -0.2035687622 -0.0014664721
HourOfDay6                       0.0151905568 -0.1739029072 -0.0006796713
HourOfDay7                      -0.0209865064 -0.1392067029 -0.0266022744
HourOfDay8                       0.0069785502 -0.1106566562  0.0047705526
HourOfDay9                       0.0179110654 -0.0786948842 -0.0028298198
HourOfDay10                      0.0030554986 -0.0497910854  0.0144593988
HourOfDay11                     -0.0041229969 -0.0162211591 -0.0078130190
HourOfDay12                      0.0016276569  0.0161399794 -0.0045623088
HourOfDay13                      0.0163668162  0.0435042823 -0.0223098919
HourOfDay14                     -0.0209965560  0.0860980686 -0.0325494045
HourOfDay15                      0.0078960035  0.0999786732  0.0010602089
HourOfDay16                     -0.0025231821  0.1337165175  0.0152034634
HourOfDay17                     -0.0058402365  0.1793924038  0.0196813374
HourOfDay18                      0.0130211534  0.2013551380 -0.0046028589
HourOfDay19                     -0.0191685967  0.2265419986  0.0124683712
HourOfDay20                     -0.0268322953  0.2592764201 -0.0317709692
HourOfDay21                     -0.0214298315  0.3005791348  0.0149106297
HourOfDay22                      0.0199691220  0.3035013506  0.0048455357
HourOfDay23                      0.0057105388  0.3333254999  0.0130581818
DayOfWeek2                      -0.0067981136 -0.0159053068 -0.4139848295
DayOfWeek3                       0.0073643220  0.0263041117 -0.2244525797
DayOfWeek4                      -0.0026688629 -0.0005613027 -0.0133579165
DayOfWeek5                       0.0014655365 -0.0215255836  0.1906194509
DayOfWeek6                       0.0097234464  0.0048340729  0.4108055365
DayOfWeek7                       0.0103529617  0.0036319680  0.6131025295
hour_sin                         0.0183358084 -0.7890836830  0.0001121354
hour_cos                        -0.0013134256 -0.0952891676  0.0235872923
day_sin                         -0.0135660819  0.0077267265 -0.7299267560
day_cos                          0.0004016873 -0.0035375960  0.3895292811
                                  IsWeekend TotalFeesLog TotalTransactions_Lag1
AverageFee                    -0.1325214006  0.816573778           -0.025469890
BlockNumber                   -0.0252688441  0.041807379            0.271559273
BlockSize                      0.0328452382 -0.172267054           -0.107004969
TotalTransactions             -0.0083895742  0.352108927            0.413258945
TotalFees                     -0.1255496998  0.997663028            0.190981043
Difficulty                    -0.0056230632  0.098333014            0.243915196
TimeDiffMinutes               -0.0075826590  0.415299400           -0.036953857
HourOfDay                      0.0046687758  0.110081097            0.042559226
DayOfWeek                      0.0272492869  0.002162731           -0.024073055
IsWeekend                      1.0000000000 -0.131435288           -0.011036769
TotalFeesLog                  -0.1314352882  1.000000000            0.197240578
TotalTransactions_Lag1        -0.0110367692  0.197240578            1.000000000
BlockSize_Lag1                 0.0279003659 -0.040699406           -0.167572405
TotalFees_Lag1                -0.1230736213  0.738661729            0.333420447
TotalFeesLog_Lag1             -0.1283775062  0.743837576            0.343708677
TotalTransactions_RunningAvg2 -0.0178698466  0.231646773            0.794881156
TotalTransactions_RunningAvg3 -0.0177465709  0.255291861            0.697376814
BlockSize_RunningAvg2          0.0298617482 -0.053445494           -0.184524442
BlockSize_RunningAvg3          0.0257479454 -0.056685320           -0.180766534
TotalFees_RunningAvg2         -0.1289300636  0.783895742            0.288123774
TotalFees_RunningAvg3         -0.1305934637  0.794718858            0.264601747
TotalFeesLog_RunningAvg2      -0.1348075230  0.786625031            0.295245667
TotalFeesLog_RunningAvg3      -0.1366292764  0.796801373            0.270157306
Interaction_HourIsWeekend      0.8198147760 -0.098592202           -0.009683628
BlockSize_Squared              0.0302573484 -0.040368026           -0.181923333
BlockSize_Cubed                0.0321394903 -0.039717441           -0.193656851
HourOfDay_Squared              0.0091809055  0.100859523            0.013516950
HourOfDay_Cubed                0.0088490290  0.089020192           -0.006746970
HourOfDay1                     0.0279904960 -0.046369286           -0.032343652
HourOfDay2                     0.0015969220 -0.034049510           -0.026803867
HourOfDay3                    -0.0318685642 -0.029881416           -0.027954251
HourOfDay4                    -0.0150814605 -0.018793737           -0.066327346
HourOfDay5                     0.0004045604 -0.016846395           -0.002610948
HourOfDay6                     0.0001219614 -0.004446928            0.016867790
HourOfDay7                     0.0039060973 -0.017604444           -0.017777899
HourOfDay8                    -0.0113526074 -0.019670881            0.021900518
HourOfDay9                     0.0004045604 -0.008492788            0.043298051
HourOfDay10                   -0.0175385637 -0.012396700           -0.010329963
HourOfDay11                    0.0030064378 -0.041916483            0.013285056
HourOfDay12                   -0.0076447260 -0.001960377            0.019468241
HourOfDay13                   -0.0057164729 -0.020625427            0.029813412
HourOfDay14                    0.0043808321  0.024743142            0.036324228
HourOfDay15                   -0.0264165020  0.034657504            0.029722794
HourOfDay16                   -0.0050258693  0.026959859            0.036819482
HourOfDay17                    0.0172817265  0.053850962            0.036181863
HourOfDay18                    0.0218480851  0.076283249            0.004503996
HourOfDay19                   -0.0064318204  0.022549529            0.020313434
HourOfDay20                    0.0283393732  0.022817575           -0.010338824
HourOfDay21                    0.0243102448  0.013629284           -0.016156452
HourOfDay22                    0.0043954700  0.033209036           -0.029027759
HourOfDay23                   -0.0329418588 -0.006697071           -0.038006727
DayOfWeek2                    -0.2532118155  0.010381735            0.013570344
DayOfWeek3                    -0.2655598419  0.073588568            0.013594708
DayOfWeek4                    -0.2407887239  0.004557824            0.007874019
DayOfWeek5                    -0.2596097110  0.062792334            0.001386528
DayOfWeek6                    -0.2695603508  0.016106429           -0.021257089
DayOfWeek7                     0.6652886592 -0.081185493           -0.015938672
hour_sin                      -0.0254232895 -0.110936098           -0.042194935
hour_cos                       0.0177490185 -0.020271210           -0.109981717
day_sin                        0.3409556723 -0.050371388            0.016467315
day_cos                        0.7170434071 -0.106003333           -0.025322087
                              BlockSize_Lag1 TotalFees_Lag1 TotalFeesLog_Lag1
AverageFee                       0.038275414   0.6304537570      0.6334035058
BlockNumber                     -0.137720143   0.0465420715      0.0441665178
BlockSize                        0.354278763  -0.0596201264     -0.0655018170
TotalTransactions               -0.137959962   0.2223216551      0.2267299388
TotalFees                       -0.032175050   0.7295692474      0.7330397288
Difficulty                      -0.133829569   0.1017652092      0.1006631376
TimeDiffMinutes                  0.010650152  -0.0582344191     -0.0572199976
HourOfDay                       -0.047710199   0.1124772906      0.1153723839
DayOfWeek                       -0.068589425   0.0024449149      0.0035461256
IsWeekend                        0.027900366  -0.1230736213     -0.1283775062
TotalFeesLog                    -0.040699406   0.7386617286      0.7438375762
TotalTransactions_Lag1          -0.167572405   0.3334204474      0.3437086773
BlockSize_Lag1                   1.000000000  -0.1903475614     -0.2001962400
TotalFees_Lag1                  -0.190347561   1.0000000000      0.9978950141
TotalFeesLog_Lag1               -0.200196240   0.9978950141      1.0000000000
TotalTransactions_RunningAvg2   -0.152694315   0.3027341100      0.3113539685
TotalTransactions_RunningAvg3   -0.142843641   0.2938861723      0.3013929031
BlockSize_RunningAvg2            0.774917681  -0.1394061956     -0.1499985852
BlockSize_RunningAvg3            0.664689863  -0.1173981736     -0.1271306984
TotalFees_RunningAvg2           -0.120407152   0.9158224809      0.9192088972
TotalFees_RunningAvg3           -0.086894973   0.8800491473      0.8843927148
TotalFeesLog_RunningAvg2        -0.128411344   0.9145965720      0.9209320084
TotalFeesLog_RunningAvg3        -0.094339555   0.8790359093      0.8859326177
Interaction_HourIsWeekend        0.045425894  -0.0910247495     -0.0961416347
BlockSize_Squared                0.997835558  -0.1931108354     -0.2031559941
BlockSize_Cubed                  0.991660135  -0.1941650496     -0.2043274142
HourOfDay_Squared               -0.037641756   0.1055715056      0.1085651305
HourOfDay_Cubed                 -0.027556240   0.0954779787      0.0981358884
HourOfDay1                      -0.006084994  -0.0435342442     -0.0436606371
HourOfDay2                       0.001851652  -0.0344964830     -0.0355629756
HourOfDay3                       0.038075090  -0.0266804761     -0.0271886999
HourOfDay4                       0.002804846  -0.0196436031     -0.0209403185
HourOfDay5                       0.065526339  -0.0187042392     -0.0194010833
HourOfDay6                       0.042213713  -0.0142340220     -0.0156838429
HourOfDay7                      -0.002746488  -0.0130035945     -0.0150891496
HourOfDay8                      -0.024543728  -0.0166087988     -0.0169185630
HourOfDay9                      -0.010803852  -0.0109703951     -0.0131545752
HourOfDay10                      0.002271751  -0.0098082344     -0.0122493572
HourOfDay11                      0.019781334  -0.0378626551     -0.0385244851
HourOfDay12                     -0.022838816   0.0005476449      0.0008836569
HourOfDay13                     -0.023721454  -0.0311342365     -0.0304397923
HourOfDay14                     -0.012977316   0.0297808796      0.0321664975
HourOfDay15                     -0.027719268   0.0234268033      0.0256207639
HourOfDay16                     -0.015740523   0.0227904393      0.0253870781
HourOfDay17                     -0.032724875   0.0464479168      0.0463412240
HourOfDay18                      0.002768156   0.0692401803      0.0690978292
HourOfDay19                     -0.012440876   0.0350276806      0.0355150300
HourOfDay20                     -0.012091543   0.0202243147      0.0236700146
HourOfDay21                      0.009945195   0.0206622996      0.0206569403
HourOfDay22                     -0.017161495   0.0295859009      0.0288224124
HourOfDay23                      0.015139056   0.0061955634      0.0067096804
DayOfWeek2                       0.030860722   0.0085497305      0.0065050381
DayOfWeek3                       0.015004036   0.0666951409      0.0722246681
DayOfWeek4                       0.008843986   0.0027881390      0.0037615876
DayOfWeek5                      -0.045626842   0.0608534334      0.0609474477
DayOfWeek6                      -0.042949702   0.0177535719      0.0198754575
DayOfWeek7                      -0.012170064  -0.0776136424     -0.0804033608
hour_sin                         0.057279226  -0.1089334257     -0.1138721844
hour_cos                         0.043787337  -0.0127410454     -0.0127468042
day_sin                          0.074329041  -0.0493472296     -0.0517505319
day_cos                         -0.013763210  -0.0971788822     -0.1018577384
                              TotalTransactions_RunningAvg2
AverageFee                                     -0.007923585
BlockNumber                                     0.328829943
BlockSize                                      -0.117338706
TotalTransactions                               0.452774430
TotalFees                                       0.225592490
Difficulty                                      0.294789703
TimeDiffMinutes                                -0.052043781
HourOfDay                                       0.053600757
DayOfWeek                                      -0.030836060
IsWeekend                                      -0.017869847
TotalFeesLog                                    0.231646773
TotalTransactions_Lag1                          0.794881156
BlockSize_Lag1                                 -0.152694315
TotalFees_Lag1                                  0.302734110
TotalFeesLog_Lag1                               0.311353968
TotalTransactions_RunningAvg2                   1.000000000
TotalTransactions_RunningAvg3                   0.901127325
BlockSize_RunningAvg2                          -0.199138415
BlockSize_RunningAvg3                          -0.211667336
TotalFees_RunningAvg2                           0.348193882
TotalFees_RunningAvg3                           0.331580829
TotalFeesLog_RunningAvg2                        0.357442138
TotalFeesLog_RunningAvg3                        0.339438342
Interaction_HourIsWeekend                      -0.016137015
BlockSize_Squared                              -0.161569459
BlockSize_Cubed                                -0.168552904
HourOfDay_Squared                               0.021413877
HourOfDay_Cubed                                -0.001434668
HourOfDay1                                     -0.037302819
HourOfDay2                                     -0.036697251
HourOfDay3                                     -0.034932962
HourOfDay4                                     -0.065489416
HourOfDay5                                      0.006572677
HourOfDay6                                      0.004021625
HourOfDay7                                     -0.020259238
HourOfDay8                                      0.019811840
HourOfDay9                                      0.048620628
HourOfDay10                                    -0.011020959
HourOfDay11                                     0.012051703
HourOfDay12                                     0.020855689
HourOfDay13                                     0.025964549
HourOfDay14                                     0.045915984
HourOfDay15                                     0.033402956
HourOfDay16                                     0.046108334
HourOfDay17                                     0.042199779
HourOfDay18                                     0.012962504
HourOfDay19                                     0.014187255
HourOfDay20                                    -0.008038638
HourOfDay21                                    -0.012734593
HourOfDay22                                    -0.031944296
HourOfDay23                                    -0.041131225
DayOfWeek2                                      0.020079178
DayOfWeek3                                      0.019563308
DayOfWeek4                                      0.011388667
DayOfWeek5                                     -0.004030004
DayOfWeek6                                     -0.022818171
DayOfWeek7                                     -0.022081318
hour_sin                                       -0.053714826
hour_cos                                       -0.120984010
day_sin                                         0.022435128
day_cos                                        -0.034013077
                              TotalTransactions_RunningAvg3
AverageFee                                     0.0110731503
BlockNumber                                    0.3632219683
BlockSize                                     -0.1190557184
TotalTransactions                              0.4692309521
TotalFees                                      0.2488063822
Difficulty                                     0.3259045854
TimeDiffMinutes                               -0.0489831791
HourOfDay                                      0.0580381412
DayOfWeek                                     -0.0315495980
IsWeekend                                     -0.0177465709
TotalFeesLog                                   0.2552918609
TotalTransactions_Lag1                         0.6973768144
BlockSize_Lag1                                -0.1428436407
TotalFees_Lag1                                 0.2938861723
TotalFeesLog_Lag1                              0.3013929031
TotalTransactions_RunningAvg2                  0.9011273254
TotalTransactions_RunningAvg3                  1.0000000000
BlockSize_RunningAvg2                         -0.1900275169
BlockSize_RunningAvg3                         -0.2200066184
TotalFees_RunningAvg2                          0.3404783402
TotalFees_RunningAvg3                          0.3638769708
TotalFeesLog_RunningAvg2                       0.3488769631
TotalFeesLog_RunningAvg3                       0.3726278605
Interaction_HourIsWeekend                     -0.0178923537
BlockSize_Squared                             -0.1488331765
BlockSize_Cubed                               -0.1532749946
HourOfDay_Squared                              0.0246122128
HourOfDay_Cubed                                0.0009427274
HourOfDay1                                    -0.0439994420
HourOfDay2                                    -0.0359533710
HourOfDay3                                    -0.0396384949
HourOfDay4                                    -0.0638292005
HourOfDay5                                     0.0026690035
HourOfDay6                                     0.0051053807
HourOfDay7                                    -0.0149231184
HourOfDay8                                     0.0185859515
HourOfDay9                                     0.0482608874
HourOfDay10                                   -0.0106496963
HourOfDay11                                    0.0040543370
HourOfDay12                                    0.0322336995
HourOfDay13                                    0.0204072689
HourOfDay14                                    0.0503858755
HourOfDay15                                    0.0272662050
HourOfDay16                                    0.0479488640
HourOfDay17                                    0.0490422933
HourOfDay18                                    0.0213572755
HourOfDay19                                    0.0073822308
HourOfDay20                                   -0.0068474611
HourOfDay21                                   -0.0180452230
HourOfDay22                                   -0.0283376316
HourOfDay23                                   -0.0405272777
DayOfWeek2                                     0.0214214674
DayOfWeek3                                     0.0224798893
DayOfWeek4                                     0.0079211815
DayOfWeek5                                    -0.0013988972
DayOfWeek6                                    -0.0265083779
DayOfWeek7                                    -0.0209392401
hour_sin                                      -0.0566412645
hour_cos                                      -0.1252668158
day_sin                                        0.0242345251
day_cos                                       -0.0352150415
                              BlockSize_RunningAvg2 BlockSize_RunningAvg3
AverageFee                             3.723977e-02          0.0329610240
BlockNumber                           -1.571810e-01         -0.1617212340
BlockSize                              3.833648e-01          0.3896896392
TotalTransactions                     -1.601615e-01         -0.1631345988
TotalFees                             -4.407457e-02         -0.0470376164
Difficulty                            -1.532380e-01         -0.1595585640
TimeDiffMinutes                       -8.054329e-03         -0.0055088064
HourOfDay                             -6.092868e-02         -0.0734222226
DayOfWeek                             -8.615580e-02         -0.1009673277
IsWeekend                              2.986175e-02          0.0257479454
TotalFeesLog                          -5.344549e-02         -0.0566853202
TotalTransactions_Lag1                -1.845244e-01         -0.1807665338
BlockSize_Lag1                         7.749177e-01          0.6646898629
TotalFees_Lag1                        -1.394062e-01         -0.1173981736
TotalFeesLog_Lag1                     -1.499986e-01         -0.1271306984
TotalTransactions_RunningAvg2         -1.991384e-01         -0.2116673356
TotalTransactions_RunningAvg3         -1.900275e-01         -0.2200066184
BlockSize_RunningAvg2                  1.000000e+00          0.8775515443
BlockSize_RunningAvg3                  8.775515e-01          1.0000000000
TotalFees_RunningAvg2                 -1.540486e-01         -0.1349160936
TotalFees_RunningAvg3                 -1.205272e-01         -0.1407501532
TotalFeesLog_RunningAvg2              -1.642846e-01         -0.1452260311
TotalFeesLog_RunningAvg3              -1.297563e-01         -0.1506986494
Interaction_HourIsWeekend              5.212717e-02          0.0499106008
BlockSize_Squared                      7.729955e-01          0.6626896835
BlockSize_Cubed                        7.676790e-01          0.6578010417
HourOfDay_Squared                     -4.852534e-02         -0.0582620634
HourOfDay_Cubed                       -3.692822e-02         -0.0451600971
HourOfDay1                            -1.538353e-02         -0.0087574734
HourOfDay2                             3.783424e-03          0.0129758667
HourOfDay3                             4.475910e-02          0.0411734036
HourOfDay4                             1.539365e-02          0.0236537129
HourOfDay5                             7.383282e-02          0.0692663122
HourOfDay6                             4.732724e-02          0.0504710887
HourOfDay7                             2.900701e-03          0.0129561896
HourOfDay8                            -3.909928e-02         -0.0386990646
HourOfDay9                            -2.034798e-02         -0.0292339805
HourOfDay10                           -8.474507e-05         -0.0076429055
HourOfDay11                            2.413258e-02          0.0179406466
HourOfDay12                           -1.547940e-02         -0.0097569304
HourOfDay13                           -3.746173e-02         -0.0444687088
HourOfDay14                           -1.127181e-02         -0.0132208639
HourOfDay15                           -3.475430e-02         -0.0370968820
HourOfDay16                           -1.711822e-02         -0.0166677976
HourOfDay17                           -4.301592e-02         -0.0470296881
HourOfDay18                            7.272279e-03          0.0083164438
HourOfDay19                           -2.438865e-02         -0.0242771849
HourOfDay20                            4.077324e-03          0.0105323561
HourOfDay21                            1.316612e-02         -0.0002643074
HourOfDay22                           -2.191262e-02         -0.0142277104
HourOfDay23                            4.036790e-03         -0.0046744242
DayOfWeek2                             3.921671e-02          0.0420410880
DayOfWeek3                             2.393443e-02          0.0328704702
DayOfWeek4                             1.413219e-02          0.0192418235
DayOfWeek5                            -5.358561e-02         -0.0617505079
DayOfWeek6                            -5.935687e-02         -0.0625211947
DayOfWeek7                            -1.635745e-02         -0.0280224542
hour_sin                               6.513758e-02          0.0700769925
hour_cos                               5.433604e-02          0.0648568126
day_sin                                9.226454e-02          0.1023187966
day_cos                               -2.532859e-02         -0.0358187890
                              TotalFees_RunningAvg2 TotalFees_RunningAvg3
AverageFee                             0.6799448636          0.6939786814
BlockNumber                            0.0585741056          0.0654392782
BlockSize                             -0.0501500234         -0.0398814401
TotalTransactions                      0.2237463699          0.2202843789
TotalFees                              0.7751206201          0.7862883187
Difficulty                             0.1173082668          0.1253998779
TimeDiffMinutes                       -0.0614326707         -0.0642904306
HourOfDay                              0.1252054886          0.1304018312
DayOfWeek                             -0.0003980527          0.0013957533
IsWeekend                             -0.1289300636         -0.1305934637
TotalFeesLog                           0.7838957421          0.7947188585
TotalTransactions_Lag1                 0.2881237741          0.2646017472
